id	proveedor	tipo_envio	peso	volumen	fecha	origen	destino	precio
339	Infraestructuras Fracturas	3	21	31	12/07/2002	Salamanca	Las Palmas de Gran Canaria	134.47
340	Infraestructuras Fracturas	3	25	54	22/01/2006	Huesca	Alicante	84.53
341	Electronica Chispas	1	97	84	26/02/2001	Palencia	Melilla	74.59
342	Cafes el amanencer	2	71	17	02/06/2003	Alicante	Cadiz	76.62
343	Quimicas Babum	3	1	96	16/06/2005	Tarragona	Jaen	208.21
344	Infraestructuras Fracturas	3	28	22	06/08/2001	Valencia	Valladolid	215.48
345	Infraestructuras Fracturas	2	60	97	05/08/2000	Jaen	Murcia	336.28
346	Pepe Gotera y Otilio	1	88	40	25/01/2005	Melilla	Sevilla	113.11
347	Pepe Gotera y Otilio	2	98	81	13/08/2005	Sevilla	Cuenca	43.32
348	Quimicas Babum	2	69	12	17/08/2003	Ceuta	Albacete	75.24
349	Quimicas Babum	3	58	65	28/07/2003	Las Palmas de Gran Canaria	Gerona	6.33
350	Quimicas Babum	3	31	64	16/08/2006	Segovia	Albacete	121.92
351	Pepe Gotera y Otilio	1	39	6	16/07/2004	Lugo	Jaen	200.46
352	Electronica Chispas	1	68	25	19/08/2001	Caceres	Malaga	114.95
353	Quimicas Babum	3	40	58	06/08/2002	Valladolid	Palencia	295.52
354	Pepe Gotera y Otilio	1	96	43	29/06/2005	Orense	La Coruna	146.53
355	Electronica Chispas	2	47	96	06/11/2007	Palencia	Castellon	37.0
356	Coches Coco	2	66	45	12/09/2000	San Sebastian	Malaga	363.28
357	Vigas Figas	1	32	70	02/05/2006	Zamora	Burgos	42.43
358	Vigas Figas	3	44	82	26/02/2004	Valencia	Oviedo	10.06
359	Pepe Gotera y Otilio	1	4	50	25/04/2004	Bilbao	Palencia	333.71
360	Cafes el amanencer	2	26	21	03/10/2006	Huelva	Barcelona	26.6
361	Coches Coco	3	7	59	21/01/2005	Valencia	Pamplona	280.27
362	Vigas Figas	2	75	60	08/07/2002	Ceuta	Zaragoza	15.19
363	Quimicas Babum	2	62	76	31/07/2001	Toledo	Albacete	29.12
364	Quimicas Babum	1	81	82	12/08/2000	Santander	Segovia	69.05
365	Vigas Figas	2	49	92	16/10/2004	Palma de Mallorca	Burgos	74.78
366	Pepe Gotera y Otilio	2	40	46	10/09/2002	Cadiz	Teruel	138.71
367	Infraestructuras Fracturas	2	40	76	25/04/2001	Soria	Cadiz	41.17
368	Pepe Gotera y Otilio	3	87	93	20/04/2003	Cordoba	Lugo	295.36
369	Cafes el amanencer	1	27	73	21/05/2003	Zamora	Leon	84.34
370	Infraestructuras Fracturas	2	75	48	10/04/2004	Burgos	Granada	67.32
371	Pepe Gotera y Otilio	2	12	92	04/11/2007	Huelva	Palencia	15.61
372	Electronica Chispas	1	90	74	27/03/2001	Valencia	Gerona	184.33
373	Infraestructuras Fracturas	2	67	48	12/09/2000	Vitoria	Cuenca	100.3
374	Electronica Chispas	3	95	3	04/03/2003	Badajoz	Madrid	59.51
375	Electronica Chispas	1	82	3	14/05/2002	Ceuta	Burgos	85.19
376	Coches Coco	3	68	6	14/01/2007	Guadalajara	Burgos	140.28
377	Cafes el amanencer	2	88	13	16/03/2000	Santa Cruz de Tenerife	Cadiz	53.91
378	Coches Coco	3	43	19	02/12/2006	Palma de Mallorca	Caceres	51.11
379	Pepe Gotera y Otilio	3	59	23	05/07/2006	La Coruna	Cuenca	301.5
380	Electronica Chispas	2	87	54	24/01/2006	Caceres	Huelva	0.91
381	Coches Coco	1	94	95	13/08/2002	Santa Cruz de Tenerife	Guadalajara	292.34
382	Cafes el amanencer	1	72	51	24/03/2006	Pamplona	Valladolid	114.83
383	Electronica Chispas	2	32	7	05/04/2004	Almeria	Jaen	50.34
384	Cafes el amanencer	1	76	97	23/08/2004	Ceuta	Barcelona	76.76
385	Coches Coco	3	79	82	14/12/2006	Caceres	Teruel	6.74
386	Cafes el amanencer	2	78	87	26/12/2005	Santander	Palma de Mallorca	51.14
387	Coches Coco	1	45	89	05/04/2004	Tarragona	Palencia	154.04
388	Coches Coco	1	17	43	01/09/2006	Huesca	Vitoria	68.57
389	Vigas Figas	1	67	74	02/09/2006	Almeria	Huesca	2.79
390	Pepe Gotera y Otilio	2	37	40	23/08/2003	Lugo	Badajoz	93.57
391	Pepe Gotera y Otilio	1	27	47	05/02/2007	Huelva	Burgos	34.26
392	Cafes el amanencer	1	8	8	18/07/2001	Logrono	Castellon	5.44
393	Quimicas Babum	1	86	100	15/10/2007	Oviedo	Palencia	38.07
394	Infraestructuras Fracturas	2	58	82	18/07/2004	Badajoz	Avila	211.26
395	Infraestructuras Fracturas	3	37	81	30/09/2004	Murcia	Gerona	54.36
396	Infraestructuras Fracturas	3	78	56	21/11/2007	Oviedo	Castellon	107.53
397	Cafes el amanencer	2	87	0	12/05/2000	Huelva	Cuenca	55.07
398	Coches Coco	1	46	89	13/11/2005	Logrono	Santa Cruz de Tenerife	181.82
399	Coches Coco	2	26	47	03/06/2006	Palencia	Cordoba	8.82
400	Vigas Figas	2	92	36	11/11/2006	Jaen	Bilbao	423.76
401	Infraestructuras Fracturas	1	75	63	02/05/2005	Granada	Zaragoza	91.0
402	Vigas Figas	1	83	97	26/11/2000	Tarragona	Cordoba	0.31
403	Quimicas Babum	1	24	93	22/01/2004	Palma de Mallorca	Lerida	117.76
404	Pepe Gotera y Otilio	2	80	89	23/04/2003	Almeria	Lerida	288.83
405	Electronica Chispas	2	0	16	27/05/2007	Bilbao	Bilbao	0.08
406	Coches Coco	3	93	80	13/10/2005	Murcia	Salamanca	24.97
407	Coches Coco	2	20	77	17/11/2000	Pontevedra	Almeria	95.43
408	Quimicas Babum	1	100	91	15/01/2006	Burgos	Lerida	245.84
409	Infraestructuras Fracturas	2	83	89	18/09/2006	Valladolid	Vitoria	26.31
410	Vigas Figas	2	62	58	24/07/2007	Soria	Albacete	107.93
411	Cafes el amanencer	3	7	67	23/03/2000	Valencia	Pontevedra	3.6
412	Coches Coco	2	35	0	11/03/2006	Caceres	Zamora	5.26
413	Infraestructuras Fracturas	3	65	36	24/04/2000	Bilbao	Burgos	0.65
414	Pepe Gotera y Otilio	1	90	55	16/10/2004	Pamplona	Valencia	219.62
415	Electronica Chispas	1	59	86	03/06/2001	San Sebastian	Ceuta	131.72
416	Vigas Figas	1	71	88	30/05/2006	San Sebastian	Vitoria	236.15
417	Cafes el amanencer	3	10	37	22/04/2007	Guadalajara	Caceres	48.44
418	Vigas Figas	2	93	53	22/05/2002	Albacete	Teruel	135.04
419	Infraestructuras Fracturas	1	19	40	11/08/2005	Alicante	Huesca	308.56
420	Cafes el amanencer	2	92	33	29/05/2001	Vitoria	Segovia	325.08
421	Vigas Figas	3	57	87	09/06/2002	Cordoba	Sevilla	87.55
422	Quimicas Babum	2	45	20	08/08/2002	Lugo	Alicante	178.69
423	Vigas Figas	3	63	13	18/10/2003	Toledo	Soria	108.54
424	Vigas Figas	3	28	48	17/09/2005	Valencia	Huesca	50.84
425	Quimicas Babum	2	76	90	31/12/2005	Las Palmas de Gran Canaria	Teruel	160.89
426	Vigas Figas	1	48	28	03/11/2005	Lugo	Melilla	156.05
427	Vigas Figas	3	26	16	24/03/2003	Segovia	Gerona	41.1
428	Quimicas Babum	2	20	16	24/10/2005	Gerona	Albacete	166.29
429	Infraestructuras Fracturas	1	16	71	22/03/2007	Salamanca	Burgos	159.9
430	Vigas Figas	2	47	6	08/09/2005	Badajoz	Alicante	227.73
431	Pepe Gotera y Otilio	2	31	93	13/02/2005	Palma de Mallorca	Logrono	215.3
432	Pepe Gotera y Otilio	2	96	94	08/01/2003	San Sebastian	Murcia	329.86
433	Coches Coco	2	25	45	14/03/2003	Alicante	Castellon	250.52
434	Pepe Gotera y Otilio	3	31	38	14/03/2007	Logrono	Cadiz	116.7
435	Pepe Gotera y Otilio	1	73	89	02/10/2003	Palma de Mallorca	Lugo	374.31
436	Coches Coco	3	45	9	19/02/2001	Almeria	Melilla	4.57
437	Electronica Chispas	2	29	51	08/07/2005	Valladolid	Melilla	140.35
438	Coches Coco	2	40	70	10/01/2005	Palencia	La Coruna	9.2
439	Vigas Figas	3	83	49	27/05/2001	Santander	Oviedo	0.6
440	Pepe Gotera y Otilio	3	20	69	29/03/2005	Sevilla	Ciudad Real	120.67
441	Infraestructuras Fracturas	2	61	96	20/11/2005	Ceuta	Zaragoza	217.7
442	Electronica Chispas	2	20	19	03/02/2001	Santander	Malaga	35.45
443	Infraestructuras Fracturas	2	33	25	10/12/2000	Badajoz	Lugo	194.6
444	Electronica Chispas	1	85	52	11/03/2004	Murcia	La Coruna	50.51
445	Quimicas Babum	2	57	93	27/03/2007	Almeria	Guadalajara	43.08
446	Coches Coco	2	74	92	27/12/2004	Teruel	Madrid	64.32
447	Vigas Figas	2	61	0	02/11/2005	Caceres	Cadiz	106.69
448	Coches Coco	1	41	0	24/07/2000	Melilla	Vitoria	57.01
449	Pepe Gotera y Otilio	2	7	55	19/03/2006	Madrid	Santa Cruz de Tenerife	70.17
450	Electronica Chispas	3	92	44	20/01/2006	Sevilla	Ceuta	22.95
451	Infraestructuras Fracturas	2	98	69	22/10/2007	Las Palmas de Gran Canaria	Guadalajara	112.82
452	Vigas Figas	3	42	71	30/05/2005	La Coruna	Valladolid	16.83
453	Infraestructuras Fracturas	2	23	45	11/04/2000	Malaga	Valencia	12.1
454	Pepe Gotera y Otilio	1	8	61	28/05/2000	Las Palmas de Gran Canaria	Salamanca	0.63
455	Infraestructuras Fracturas	2	84	89	12/02/2006	Palencia	Almeria	109.75
456	Cafes el amanencer	3	47	94	01/09/2005	La Coruna	Bilbao	55.28
457	Electronica Chispas	3	53	92	07/05/2007	Salamanca	Murcia	312.76
458	Infraestructuras Fracturas	2	18	52	13/04/2000	Cadiz	Lerida	169.23
459	Quimicas Babum	2	47	87	29/07/2003	Murcia	Murcia	139.74
460	Coches Coco	1	38	98	29/11/2006	Alicante	Logrono	187.68
461	Electronica Chispas	1	43	67	17/10/2001	Palencia	Palencia	58.04
462	Cafes el amanencer	1	30	1	20/08/2005	Guadalajara	Burgos	239.43
463	Cafes el amanencer	3	93	52	18/08/2003	Valladolid	Alicante	73.9
464	Infraestructuras Fracturas	3	71	17	22/05/2001	Sevilla	Murcia	2.55
465	Vigas Figas	1	83	14	20/06/2005	Ciudad Real	Gerona	241.97
466	Electronica Chispas	1	42	30	28/05/2003	Orense	Avila	140.19
467	Coches Coco	2	2	57	15/08/2007	Cadiz	Madrid	5.8
468	Infraestructuras Fracturas	3	87	49	24/12/2007	Sevilla	Santander	5.11
469	Coches Coco	1	81	98	27/09/2005	Teruel	Segovia	132.08
470	Vigas Figas	2	18	87	17/05/2006	Albacete	Tarragona	126.35
471	Infraestructuras Fracturas	3	27	91	01/07/2004	Avila	Ceuta	425.68
472	Quimicas Babum	2	19	36	31/10/2001	Logrono	Zaragoza	114.44
473	Cafes el amanencer	2	85	67	24/09/2005	Bilbao	Lerida	339.64
474	Coches Coco	1	23	42	20/01/2007	Salamanca	Pamplona	63.51
475	Coches Coco	3	49	17	28/09/2000	Sevilla	La Coruna	160.94
476	Vigas Figas	1	64	89	20/09/2000	Burgos	Avila	1.51
477	Coches Coco	1	78	6	22/10/2007	Lerida	Albacete	38.92
478	Electronica Chispas	2	79	42	14/09/2005	Teruel	Cuenca	1.42
479	Quimicas Babum	2	87	10	28/05/2005	Alicante	Las Palmas de Gran Canaria	253.38
480	Pepe Gotera y Otilio	3	17	13	20/03/2004	Alicante	Caceres	175.87
481	Cafes el amanencer	3	77	92	09/04/2001	Santander	Murcia	34.65
482	Coches Coco	3	87	4	20/09/2006	Cuenca	Toledo	94.33
483	Coches Coco	2	12	98	04/10/2003	Santa Cruz de Tenerife	Bilbao	52.16
484	Cafes el amanencer	1	11	82	26/06/2007	Santa Cruz de Tenerife	Malaga	321.82
485	Pepe Gotera y Otilio	2	31	66	11/01/2002	Cadiz	Melilla	79.78
486	Quimicas Babum	2	94	49	27/02/2006	Teruel	Pontevedra	283.25
487	Infraestructuras Fracturas	3	81	16	30/03/2000	Melilla	Lerida	91.98
488	Electronica Chispas	1	38	98	24/10/2007	Guadalajara	Soria	10.72
489	Infraestructuras Fracturas	3	37	0	05/03/2000	Las Palmas de Gran Canaria	Cuenca	171.09
490	Infraestructuras Fracturas	2	34	35	16/08/2001	Badajoz	Orense	61.52
491	Coches Coco	1	50	33	19/10/2003	Guadalajara	Cuenca	152.25
492	Infraestructuras Fracturas	2	20	7	28/09/2004	Barcelona	Zaragoza	268.2
493	Quimicas Babum	3	59	16	01/08/2002	Cadiz	Pamplona	272.48
494	Pepe Gotera y Otilio	3	65	34	19/06/2007	Castellon	Santander	3.36
495	Vigas Figas	2	52	21	05/05/2002	Alicante	Tarragona	205.98
496	Electronica Chispas	3	52	14	05/11/2001	Albacete	Albacete	275.72
497	Pepe Gotera y Otilio	1	15	6	13/02/2007	Cuenca	Melilla	127.75
498	Infraestructuras Fracturas	1	76	97	01/02/2005	Huelva	Avila	16.23
499	Coches Coco	3	36	59	11/02/2006	Orense	Logrono	280.51
500	Electronica Chispas	3	58	52	02/11/2007	Las Palmas de Gran Canaria	Zaragoza	76.06
501	Vigas Figas	2	35	52	20/07/2003	Ciudad Real	Sevilla	35.06
502	Coches Coco	2	98	4	07/04/2002	Segovia	La Coruna	191.8
503	Infraestructuras Fracturas	2	62	12	27/08/2001	La Coruna	Zaragoza	76.23
504	Pepe Gotera y Otilio	1	59	90	28/10/2000	Melilla	Barcelona	40.17
505	Infraestructuras Fracturas	1	30	42	11/12/2004	Salamanca	Ceuta	130.17
506	Infraestructuras Fracturas	1	29	8	02/12/2006	Ceuta	Melilla	400.72
507	Pepe Gotera y Otilio	1	93	98	12/06/2003	Malaga	Madrid	9.84
508	Pepe Gotera y Otilio	3	51	58	05/12/2002	San Sebastian	Guadalajara	91.78
509	Pepe Gotera y Otilio	1	44	28	21/10/2007	Jaen	Avila	233.28
510	Infraestructuras Fracturas	3	14	40	23/09/2002	Madrid	Avila	195.59
511	Coches Coco	1	55	31	27/01/2003	Teruel	Madrid	80.98
512	Cafes el amanencer	2	43	67	03/05/2005	Lugo	Toledo	60.35
513	Cafes el amanencer	2	46	60	23/01/2001	Sevilla	Valencia	10.11
514	Coches Coco	2	35	25	01/01/2001	San Sebastian	Huelva	250.2
515	Coches Coco	2	12	91	11/05/2005	Huelva	Ciudad Real	22.86
516	Quimicas Babum	2	37	17	28/05/2005	Ciudad Real	Lerida	86.56
517	Quimicas Babum	2	71	48	31/03/2002	Barcelona	Vitoria	82.31
518	Cafes el amanencer	3	93	60	23/02/2004	Toledo	Caceres	12.84
519	Quimicas Babum	1	45	65	28/11/2006	Zamora	La Coruna	133.84
520	Electronica Chispas	3	66	6	07/12/2006	Caceres	Segovia	6.4
521	Cafes el amanencer	2	14	46	27/12/2006	Toledo	Pamplona	214.09
522	Coches Coco	1	99	48	28/04/2001	Gerona	Leon	2.52
523	Electronica Chispas	1	31	65	28/06/2004	Segovia	Pamplona	16.95
524	Electronica Chispas	2	47	46	23/03/2002	Valencia	San Sebastian	408.29
525	Electronica Chispas	3	0	91	06/01/2007	Palencia	Gerona	2.66
526	Infraestructuras Fracturas	1	86	53	04/01/2002	San Sebastian	San Sebastian	234.19
527	Vigas Figas	3	68	99	19/12/2007	Toledo	Cadiz	1.51
528	Cafes el amanencer	2	81	100	18/10/2005	Valencia	Teruel	110.9
529	Vigas Figas	2	7	73	27/03/2001	Pamplona	Alicante	74.48
530	Cafes el amanencer	2	65	4	05/01/2007	Melilla	Badajoz	42.06
531	Vigas Figas	2	94	7	09/03/2004	Lerida	Ciudad Real	398.54
532	Coches Coco	2	95	70	14/02/2000	Burgos	Leon	30.48
533	Electronica Chispas	1	27	35	16/02/2000	Barcelona	Bilbao	161.37
534	Cafes el amanencer	3	71	65	12/10/2006	Badajoz	Zamora	5.91
535	Infraestructuras Fracturas	1	70	3	17/03/2003	Palma de Mallorca	Burgos	395.56
536	Infraestructuras Fracturas	1	13	11	30/12/2006	Burgos	Soria	37.14
537	Vigas Figas	1	53	30	20/08/2004	Tarragona	Lerida	89.36
538	Pepe Gotera y Otilio	1	64	12	31/03/2003	Guadalajara	Melilla	32.45
539	Vigas Figas	3	58	63	05/10/2001	Gerona	Santa Cruz de Tenerife	242.6
540	Pepe Gotera y Otilio	3	59	1	15/04/2006	Albacete	Jaen	72.15
541	Quimicas Babum	3	96	90	15/09/2007	Logrono	Cordoba	83.9
542	Pepe Gotera y Otilio	3	53	0	09/01/2003	Granada	San Sebastian	38.55
543	Coches Coco	1	53	70	06/01/2000	Badajoz	Lerida	208.41
544	Electronica Chispas	2	94	3	09/10/2006	Logrono	Lugo	105.15
545	Pepe Gotera y Otilio	2	75	92	13/10/2004	Leon	Santander	95.76
546	Vigas Figas	3	27	8	12/07/2004	Madrid	Lerida	215.94
547	Quimicas Babum	2	8	20	20/04/2007	Las Palmas de Gran Canaria	Cuenca	156.48
548	Cafes el amanencer	2	79	12	03/06/2001	Palma de Mallorca	Pamplona	32.78
549	Coches Coco	1	2	13	04/05/2007	Zamora	Lerida	314.79
550	Pepe Gotera y Otilio	2	4	80	12/11/2003	Murcia	Lugo	9.22
551	Pepe Gotera y Otilio	2	0	10	20/05/2004	Segovia	Castellon	306.72
552	Coches Coco	1	98	56	19/11/2000	Castellon	Vitoria	276.0
553	Coches Coco	3	44	48	23/05/2007	Zamora	Sevilla	357.17
554	Vigas Figas	2	24	42	29/07/2000	Lerida	Santa Cruz de Tenerife	46.75
555	Quimicas Babum	1	93	73	06/12/2003	Palencia	Melilla	183.33
556	Quimicas Babum	1	18	31	04/06/2003	Huesca	La Coruna	264.54
557	Electronica Chispas	3	38	47	23/05/2002	Granada	Palencia	114.21
558	Vigas Figas	2	2	61	15/03/2004	Jaen	Pamplona	184.92
559	Infraestructuras Fracturas	1	1	20	08/06/2006	Sevilla	Salamanca	8.27
560	Electronica Chispas	2	38	99	09/04/2000	Jaen	Badajoz	92.87
561	Vigas Figas	3	62	57	19/03/2002	San Sebastian	Gerona	172.18
562	Cafes el amanencer	2	59	71	06/11/2002	Vitoria	Badajoz	179.94
563	Cafes el amanencer	1	50	55	16/07/2006	Albacete	Badajoz	190.86
564	Infraestructuras Fracturas	1	23	78	17/05/2004	Lerida	La Coruna	142.28
565	Electronica Chispas	3	70	63	31/10/2003	San Sebastian	Tarragona	74.52
566	Pepe Gotera y Otilio	3	94	94	19/08/2000	Malaga	Logrono	164.08
567	Infraestructuras Fracturas	2	14	10	27/01/2007	Lugo	Lugo	174.97
568	Infraestructuras Fracturas	1	82	35	21/06/2003	Murcia	Granada	212.55
569	Electronica Chispas	2	18	77	16/07/2006	Avila	Palencia	238.6
570	Cafes el amanencer	3	65	92	30/11/2001	Vitoria	Madrid	408.92
571	Cafes el amanencer	2	34	92	30/11/2005	Badajoz	Badajoz	103.21
572	Quimicas Babum	2	67	93	29/03/2007	Castellon	Murcia	274.65
573	Vigas Figas	1	6	1	23/01/2003	Guadalajara	Ciudad Real	142.86
574	Quimicas Babum	3	32	99	08/03/2006	Albacete	Las Palmas de Gran Canaria	33.85
575	Vigas Figas	1	40	75	24/09/2000	Zaragoza	Santa Cruz de Tenerife	251.61
576	Coches Coco	2	57	49	17/05/2006	Segovia	Gerona	82.33
577	Electronica Chispas	2	17	50	24/06/2001	Castellon	Soria	165.19
578	Electronica Chispas	3	82	44	11/05/2000	Avila	Barcelona	50.08
579	Cafes el amanencer	2	51	51	22/05/2001	Sevilla	Pontevedra	86.9
580	Quimicas Babum	1	98	99	22/12/2007	Avila	Barcelona	3.75
581	Cafes el amanencer	3	0	33	05/07/2003	Cadiz	Albacete	348.88
582	Vigas Figas	2	73	32	05/12/2000	Huelva	Santander	134.23
583	Quimicas Babum	1	77	81	12/08/2006	Alicante	Orense	16.11
584	Pepe Gotera y Otilio	3	57	58	07/10/2002	Granada	Granada	145.97
585	Infraestructuras Fracturas	1	18	61	21/01/2007	Zaragoza	Cuenca	110.0
586	Vigas Figas	2	45	44	11/10/2001	Valencia	Soria	247.89
587	Coches Coco	3	70	57	15/10/2003	Valencia	Murcia	195.86
588	Cafes el amanencer	1	7	85	11/05/2001	Badajoz	Melilla	344.88
589	Electronica Chispas	1	97	88	27/02/2005	Valladolid	Palencia	28.12
590	Electronica Chispas	2	73	36	14/01/2005	Jaen	Barcelona	23.99
591	Pepe Gotera y Otilio	2	92	28	08/07/2002	Barcelona	Burgos	21.95
592	Coches Coco	1	30	33	09/10/2005	Barcelona	Guadalajara	266.16
593	Electronica Chispas	2	24	91	22/09/2000	Valencia	Soria	49.76
594	Quimicas Babum	2	51	50	27/05/2007	Barcelona	Palencia	165.9
595	Electronica Chispas	2	77	11	27/03/2006	Burgos	San Sebastian	293.14
596	Electronica Chispas	2	34	62	13/07/2002	Barcelona	Toledo	60.75
597	Vigas Figas	1	2	53	22/03/2006	Cordoba	Orense	87.37
598	Quimicas Babum	2	76	48	21/09/2000	Logrono	Pamplona	204.04
599	Vigas Figas	2	38	83	29/06/2007	Murcia	Cadiz	155.57
600	Coches Coco	1	24	89	15/02/2007	Teruel	Guadalajara	408.45
601	Cafes el amanencer	2	32	78	31/08/2006	Toledo	Salamanca	127.97
602	Coches Coco	1	74	76	01/01/2007	Salamanca	Badajoz	39.92
603	Vigas Figas	2	87	64	07/03/2002	Valladolid	Cadiz	191.0
604	Coches Coco	1	29	29	27/04/2002	Almeria	Logrono	136.8
605	Pepe Gotera y Otilio	1	24	11	17/12/2007	Valencia	Segovia	49.7
606	Quimicas Babum	2	62	83	03/02/2005	Cadiz	Castellon	121.6
607	Electronica Chispas	3	30	63	10/08/2007	Santa Cruz de Tenerife	Logrono	301.91
608	Vigas Figas	2	46	45	29/04/2007	Ceuta	Lugo	159.67
609	Electronica Chispas	1	38	12	08/01/2006	Zaragoza	Bilbao	300.89
610	Coches Coco	2	58	1	31/01/2007	Soria	Avila	22.87
611	Coches Coco	1	64	81	19/12/2000	Soria	Cuenca	20.07
612	Quimicas Babum	1	31	77	09/12/2004	Toledo	Albacete	39.47
613	Electronica Chispas	2	96	92	11/05/2007	Avila	Malaga	165.41
614	Electronica Chispas	2	99	79	21/06/2005	Cuenca	Guadalajara	26.45
615	Quimicas Babum	3	85	62	27/01/2005	Ciudad Real	Santa Cruz de Tenerife	35.06
616	Quimicas Babum	1	63	49	01/06/2007	Tarragona	Valencia	0.48
617	Coches Coco	1	7	53	29/08/2000	Valladolid	Santa Cruz de Tenerife	205.49
618	Pepe Gotera y Otilio	1	64	14	24/02/2001	Guadalajara	Soria	164.86
619	Quimicas Babum	1	46	72	15/02/2003	Burgos	Castellon	136.05
620	Coches Coco	3	49	3	30/05/2002	Guadalajara	Palma de Mallorca	13.27
621	Cafes el amanencer	2	87	10	01/10/2002	Alicante	Pamplona	364.72
622	Quimicas Babum	1	58	25	27/08/2000	Albacete	Ceuta	229.99
623	Coches Coco	3	33	61	08/06/2001	Leon	Jaen	96.39
624	Vigas Figas	1	28	65	10/09/2005	Cordoba	Salamanca	70.84
625	Coches Coco	2	92	68	16/12/2002	Las Palmas de Gran Canaria	Castellon	119.9
626	Quimicas Babum	1	31	95	28/01/2000	Lerida	Badajoz	34.1
627	Vigas Figas	1	87	88	09/05/2006	Huesca	Pontevedra	7.33
628	Coches Coco	1	89	54	21/10/2005	Cadiz	Toledo	50.29
629	Infraestructuras Fracturas	1	90	60	27/01/2003	Castellon	Zamora	134.41
630	Coches Coco	3	72	2	29/12/2007	Lugo	Segovia	80.27
631	Quimicas Babum	1	74	81	30/01/2000	Logrono	Guadalajara	174.58
632	Quimicas Babum	3	38	43	13/12/2005	Logrono	Madrid	4.2
633	Quimicas Babum	2	12	64	19/08/2002	Lugo	Ceuta	68.72
634	Vigas Figas	2	51	95	20/02/2000	Cordoba	Logrono	5.74
635	Vigas Figas	1	1	60	06/08/2003	Palencia	Segovia	0.34
636	Electronica Chispas	2	77	43	31/05/2004	Valladolid	Salamanca	183.15
637	Electronica Chispas	1	80	71	07/05/2006	Palencia	Lugo	5.15
638	Quimicas Babum	1	7	43	05/07/2007	Jaen	Oviedo	132.51
639	Coches Coco	3	96	83	25/09/2004	Guadalajara	Bilbao	263.5
640	Pepe Gotera y Otilio	2	85	21	12/02/2005	Guadalajara	Badajoz	184.79
641	Pepe Gotera y Otilio	2	28	10	04/09/2000	Santander	Orense	24.54
642	Vigas Figas	1	67	15	19/07/2007	Logrono	Lugo	385.64
643	Vigas Figas	1	91	6	02/03/2004	Toledo	Pontevedra	42.35
644	Infraestructuras Fracturas	1	14	97	29/06/2004	Orense	Granada	0.71
645	Quimicas Babum	1	47	48	10/06/2005	Tarragona	San Sebastian	0.18
646	Quimicas Babum	1	64	79	07/09/2001	Palencia	Segovia	466.7
647	Electronica Chispas	3	3	81	17/09/2001	Albacete	Valladolid	304.58
648	Pepe Gotera y Otilio	1	31	89	19/03/2002	Badajoz	Malaga	43.01
649	Cafes el amanencer	1	86	79	18/02/2007	Segovia	Madrid	105.09
650	Cafes el amanencer	2	68	20	16/10/2007	Lugo	Caceres	177.61
651	Vigas Figas	3	60	58	01/09/2001	Melilla	Tarragona	6.89
652	Pepe Gotera y Otilio	1	84	10	29/03/2005	Huelva	Tarragona	15.86
653	Quimicas Babum	3	20	29	13/01/2006	La Coruna	Lerida	16.08
654	Infraestructuras Fracturas	2	40	98	07/04/2004	Barcelona	Badajoz	197.42
655	Coches Coco	2	76	48	21/02/2003	Pamplona	Zamora	159.6
656	Infraestructuras Fracturas	3	92	89	04/10/2006	Santa Cruz de Tenerife	Zaragoza	338.98
657	Quimicas Babum	1	51	40	21/09/2000	Gerona	Las Palmas de Gran Canaria	55.51
658	Vigas Figas	1	88	19	04/02/2006	Zamora	Cordoba	6.34
659	Infraestructuras Fracturas	1	91	65	17/10/2000	Murcia	Almeria	240.84
660	Cafes el amanencer	1	76	5	29/03/2004	Gerona	Caceres	18.9
661	Infraestructuras Fracturas	1	71	11	10/07/2000	Burgos	Huelva	127.53
662	Cafes el amanencer	2	6	83	28/04/2005	Lugo	Lerida	1.41
663	Cafes el amanencer	3	33	78	22/09/2001	Avila	Pamplona	87.71
664	Vigas Figas	1	9	61	29/04/2004	Lerida	Cordoba	132.72
665	Vigas Figas	1	16	16	15/02/2003	Oviedo	Guadalajara	143.83
666	Electronica Chispas	2	83	98	13/07/2003	Caceres	Cordoba	153.86
667	Pepe Gotera y Otilio	3	42	31	29/06/2006	Logrono	Logrono	17.52
668	Pepe Gotera y Otilio	3	46	20	22/07/2000	Lugo	Pontevedra	335.18
669	Electronica Chispas	1	99	95	11/05/2007	Palma de Mallorca	Oviedo	44.16
670	Infraestructuras Fracturas	2	20	37	10/09/2004	Valladolid	Melilla	85.57
671	Quimicas Babum	2	91	9	31/08/2000	Castellon	Murcia	135.15
672	Coches Coco	2	85	74	09/12/2007	Cuenca	Lugo	117.29
673	Pepe Gotera y Otilio	2	42	97	07/07/2000	Leon	Las Palmas de Gran Canaria	30.5
674	Cafes el amanencer	1	48	45	07/12/2006	Santander	Toledo	56.06
675	Cafes el amanencer	1	76	25	31/08/2000	Murcia	Logrono	48.57
676	Pepe Gotera y Otilio	2	47	4	16/12/2005	Malaga	Logrono	40.21
677	Vigas Figas	2	3	57	09/10/2002	Valladolid	Pontevedra	113.57
678	Infraestructuras Fracturas	1	4	45	08/01/2007	Santa Cruz de Tenerife	Granada	202.54
679	Vigas Figas	3	21	15	21/06/2000	Pamplona	Caceres	154.76
680	Vigas Figas	1	93	11	06/10/2000	Leon	Pontevedra	26.56
681	Vigas Figas	1	26	99	10/02/2004	Santander	Melilla	279.56
682	Electronica Chispas	3	22	48	06/06/2000	Logrono	Soria	164.87
